app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(292,5): error TS2304: Cannot find name 'expect'.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(295,3): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(304,21): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(305,30): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(307,27): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(315,5): error TS2304: Cannot find name 'expect'.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(322,1): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(323,3): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(332,21): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(333,30): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(335,27): error TS2708: Cannot use namespace 'jest' as a value.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(345,5): error TS2304: Cannot find name 'expect'.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(348,5): error TS2304: Cannot find name 'expect'.
app/(app)/(tabs)/__tests__/saved-routes.filter.test.ts(355,1): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
