RouteName,State,CentroidLat,CentroidLng,LengthMiles,AgencyTags
Cedar Breaks Scenic Byway (U-148),Utah,37.613566,-112.834645,7.6,"USFS, STATE"
Central Adirondack Trail,New York,43.602672,-74.574990,150.2,STATE
Chain of Craters Back Country Byway,New Mexico,34.838664,-108.139257,32.3,"BLM, STATE"
Chain of Craters Road,Hawaii,19.334267,-155.160331,21.0,NPS
Chan SanSan Backway,North Dakota,46.503521,-98.458045,25.3,"STATE, STATE"
Charles Street,Maryland,39.341587,-76.621599,11.3,STATE
Charleston-Bandon Loop Tour Route,Oregon,43.261311,-124.367221,24.8,STATE
Cheat Mountain Backway,West Virginia,38.617881,-79.881351,3.0,STATE
Cheat River Byway,West Virginia,39.389535,-79.685675,14.1,STATE
Cherohala Skyway,North Carolina / Tennessee,35.342787,-84.081668,42.4,"USFS, NSB"
Cherokee Foothills Scenic Highway,South Carolina,34.985651,-82.493433,121.0,"NSB, STATE"
Chesapeake Country Scenic Byway,Maryland,39.188150,-76.066459,84.5,"NSB, STATE"
Chief Joseph Scenic Highway,Wyoming,44.794699,-109.457533,46.4,STATE
Chimney Peak Back Country Byway,California,35.835143,-118.079120,34.8,BLM
Chinook Scenic Byway,Washington,46.970579,-121.360060,96.9,"NSB, USFS, STATE"
Christmas Valley Back Country Byway,Oregon,43.282071,-120.761516,61.5,BLM
Chuckanut Drive,Washington,48.607262,-122.436217,23.7,STATE
City of Rocks Back Country Byway,Idaho,42.196322,-113.649341,48.7,BLM
Cliff Drive,Missouri,39.116557,-94.537809,4.4,STATE
Cloud Peak Skyway,Wyoming,44.184351,-107.070092,47.4,"USFS, STATE"
Coal Heritage Trail,West Virginia,37.509859,-81.412027,89.0,"NSB, STATE"
Cohutta-Chattahoochee Scenic Byway,Georgia,34.851342,-84.753833,45.4,STATE
Collegiate Peaks Byway,Colorado,38.732223,-106.110697,55.6,STATE
Colonial Heritage Byway,North Carolina,36.348446,-79.315601,79.5,STATE
Colonial Parkway,Virginia,37.250737,-76.654150,22.5,"NSB, NPS, STATE"
Colonial Trails Scenic Byway,Louisiana / Texas,31.487703,-92.336078,662.5,STATE
Colorado River Headwaters Byway,Colorado,40.049857,-106.236575,68.3,"NSB, STATE"
Columbia River Gorge Scenic Byway - Washington,Washington,45.664343,-121.593923,84.6,STATE
Connecticut River Byway,New Hampshire / Vermont,44.081452,-71.981994,495.5,NSB
Connecticut River Scenic Farm Byway,Massachusetts,42.505703,-72.543159,13.2,STATE
Connecticut State Route 169,Connecticut,41.805354,-71.975005,33.0,NSB
Copper Country Trail,Michigan,47.329334,-88.271075,46.6,"NSB, STATE"
Cordell Hull Highway,Kentucky / Tennessee,36.912494,-85.861028,56.2,STATE
Coronado Trail Scenic Byway,Arizona,33.599052,-109.288764,109.8,"USFS, NSB, STATE"
Corrales Road,New Mexico,35.237821,-106.615329,6.7,STATE
Cottage Grove Covered Bridge Tour Route,Oregon,43.773757,-122.946383,21.5,STATE
Coulee Corridor Scenic Byway,Washington,47.714017,-119.232133,151.7,"NSB, STATE"
Country Music Highway,Kentucky,37.714421,-82.649831,145.3,"NSB, STATE"
Covered Bridge Scenic Byway,Ohio,39.554336,-81.238977,46.1,USFS
Cow Creek Tour Route,Oregon,42.848347,-123.492162,44.7,"BLM, STATE"
Cranberry Coast Scenic Byway,Washington,46.901039,-123.972955,23.6,STATE
Creole Nature Trail,Louisiana / Texas,29.892863,-93.244656,174.6,"NSB, STATE"
Crowders Mountain Drive,North Carolina,35.211574,-81.303857,7.9,STATE
Crowley's Ridge Parkway,Arkansas / Missouri,35.665277,-90.563212,219.7,NSB
Cumberland Cultural Heritage Highway,Kentucky,37.178271,-84.998156,182.5,STATE
Dalton Highway,Alaska,67.587070,-149.538607,422.7,STATE
Dead Horse Point Mesa Scenic Byway,Utah,38.517460,-109.793039,41.4,STATE
Death Valley Scenic Byway,California,36.453613,-117.124129,86.3,"NSB, STATE"
Delaware Crossing Scenic Byway,Iowa,42.407178,-91.342273,36.2,STATE
Delaware River Scenic Byway,New Jersey,40.387210,-74.974776,25.5,STATE
Des Lacs National Wildlife Refuge Backway,North Dakota,48.693776,-102.082123,40.2,STATE
